instance_id,repo,coupling_label,complexity_label,modularity_label,coupling_criteria,complexity_criteria,modularity_criteria,fragment_count,parseable_fragment_pairs
django__django-11087,django/django,1,1,1,reduced_external_calls|reduced_fan_out,reduced_cyclomatic_complexity,reduced_apparent_responsibilities,4,2
django__django-11096,django/django,0,0,0,,,,2,1
django__django-11099,django/django,0,0,0,,,,2,2
django__django-11115,django/django,0,0,0,,,,2,2
django__django-11129,django/django,0,0,0,,,,2,1
django__django-11133,django/django,0,0,0,,,,1,1
django__django-11138,django/django,0,0,0,,,,7,3
django__django-11141,django/django,0,1,0,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity,,2,2
django__django-11149,django/django,0,1,1,,reduced_nesting_depth,helper_extraction_with_nonincreasing_complexity|increased_function_decomposition|introduced_helper_function,1,1
django__django-11155,django/django,0,0,0,,,,2,2
django__django-11163,django/django,0,0,0,,,,1,1
django__django-11166,django/django,0,0,0,,,,2,1
django__django-11169,django/django,0,0,0,,,,2,1
django__django-11170,django/django,0,0,0,,,,3,1
django__django-11177,django/django,0,0,0,,,,4,2
django__django-11194,django/django,1,0,1,reduced_dependency_references|reduced_fan_out|reduced_imported_modules,,moved_logic_behind_function_boundary,4,2
django__django-11205,django/django,1,1,1,reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,reduced_apparent_responsibilities,1,1
django__django-11206,django/django,0,0,0,,,,1,1
django__django-11211,django/django,0,0,1,,,increased_function_decomposition,1,1
django__django-11216,django/django,0,0,0,,,,3,2
django__django-11239,django/django,0,0,0,,,,2,2
django__django-11244,django/django,0,1,0,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity,,2,1
django__django-11260,django/django,0,0,0,,,,3,2
django__django-11265,django/django,0,0,0,,,,2,2
django__django-11270,django/django,0,0,0,,,,4,3
django__django-11276,django/django,0,0,0,,,,6,2
django__django-11278,django/django,0,0,0,,,,3,2
django__django-11279,django/django,0,0,0,,,,2,2
django__django-11281,django/django,0,0,0,,,,54,40
django__django-11292,django/django,0,0,0,,,,4,3
django__django-11333,django/django,0,0,1,,,helper_extraction_with_nonincreasing_complexity|increased_function_decomposition|introduced_helper_function,3,3
django__django-11334,django/django,0,0,0,,,,3,1
django__django-11356,django/django,0,0,0,,,,1,1
django__django-11359,django/django,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out|reduced_imported_modules,reduced_conditional_branches|reduced_cyclomatic_complexity,increased_function_decomposition|introduced_helper_function,10,7
django__django-11377,django/django,0,0,0,,,,1,1
django__django-11383,django/django,0,0,0,,,,2,1
django__django-11389,django/django,1,0,1,reduced_dependency_references|reduced_fan_out|reduced_imported_modules,,moved_logic_behind_function_boundary,6,2
django__django-11396,django/django,0,0,0,,,,3,1
django__django-11400,django/django,0,0,0,,,,4,1
django__django-11405,django/django,0,0,0,,,,1,1
django__django-11417,django/django,1,0,0,reduced_imported_modules,,,2,1
django__django-11422,django/django,0,0,0,,,,1,1
django__django-11423,django/django,0,0,0,,,,3,2
django__django-11433,django/django,0,0,0,,,,1,1
django__django-11446,django/django,0,0,0,,,,5,5
django__django-11477,django/django,0,0,0,,,,1,1
django__django-11490,django/django,0,0,0,,,,1,1
django__django-11501,django/django,0,0,0,,,,3,1
django__django-11517,django/django,0,0,0,,,,2,1
django__django-11525,django/django,0,0,0,,,,2,2
django__django-11527,django/django,0,0,0,,,,3,3
django__django-11532,django/django,0,1,0,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,,11,9
django__django-11539,django/django,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,reduced_apparent_responsibilities,3,1
django__django-11550,django/django,0,0,0,,,,1,1
django__django-11555,django/django,0,0,0,,,,1,1
django__django-11559,django/django,0,0,0,,,,1,1
django__django-11560,django/django,0,0,0,,,,1,1
django__django-11564,django/django,0,0,1,,,increased_function_decomposition|introduced_helper_function,3,2
django__django-11583,django/django,0,0,0,,,,1,1
django__django-11584,django/django,0,0,0,,,,2,1
django__django-11591,django/django,0,0,0,,,,10,5
django__django-11592,django/django,0,0,0,,,,1,1
django__django-11605,django/django,1,1,0,reduced_dependency_references,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity,,4,2
django__django-11612,django/django,0,0,0,,,,4,1
django__django-11620,django/django,0,0,0,,,,2,2
django__django-11622,django/django,0,0,0,,,,3,3
django__django-11638,django/django,0,0,0,,,,2,2
django__django-11666,django/django,0,0,0,,,,2,1
django__django-11669,django/django,0,0,1,,,increased_function_decomposition|introduced_helper_function,3,3
django__django-11677,django/django,0,0,0,,,,1,1
django__django-11680,django/django,0,0,0,,,,2,2
django__django-11688,django/django,0,0,0,,,,2,2
django__django-11692,django/django,0,0,0,,,,3,1
django__django-11701,django/django,0,0,0,,,,4,1
django__django-11707,django/django,0,0,1,,,helper_extraction_with_nonincreasing_complexity|increased_function_decomposition|introduced_helper_function,1,1
django__django-11727,django/django,0,0,0,,,,2,1
django__django-11728,django/django,0,0,0,,,,6,3
django__django-11734,django/django,0,0,0,,,,3,3
django__django-11740,django/django,0,0,0,,,,3,2
django__django-11749,django/django,0,0,0,,,,1,1
django__django-11751,django/django,0,0,0,,,,3,2
django__django-11754,django/django,0,0,0,,,,4,2
django__django-11772,django/django,1,0,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out|reduced_imported_modules,,moved_logic_behind_function_boundary,1,1
django__django-11790,django/django,0,0,0,,,,1,1
django__django-11797,django/django,0,0,0,,,,1,1
django__django-11808,django/django,0,0,0,,,,11,9
django__django-11810,django/django,0,0,0,,,,2,2
django__django-11823,django/django,0,0,0,,,,5,5
django__django-11829,django/django,0,0,0,,,,3,3
django__django-11848,django/django,0,0,0,,,,1,1
django__django-11880,django/django,0,0,0,,,,1,1
django__django-11883,django/django,0,0,1,,,increased_function_decomposition,9,8
django__django-11885,django/django,1,0,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,,,10,3
django__django-11891,django/django,0,0,0,,,,1,1
django__django-11893,django/django,0,0,0,,,,2,1
django__django-11903,django/django,0,0,0,,,,1,1
django__django-11905,django/django,0,0,0,,,,3,3
django__django-11910,django/django,0,0,0,,,,1,1
django__django-11911,django/django,0,0,0,,,,1,1
django__django-11916,django/django,0,0,0,,,,5,3
django__django-11991,django/django,0,1,1,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_nesting_depth,increased_function_decomposition,27,13
django__django-11997,django/django,1,0,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,,,1,1
django__django-12009,django/django,0,0,0,,,,1,1
django__django-12039,django/django,0,0,0,,,,2,2
django__django-12062,django/django,0,0,0,,,,2,1
django__django-12073,django/django,1,0,1,reduced_imported_modules,,increased_function_decomposition|introduced_helper_function,5,4
django__django-12091,django/django,0,0,0,,,,5,3
django__django-12113,django/django,0,0,0,,,,1,1
django__django-12121,django/django,0,0,0,,,,1,1
django__django-12122,django/django,0,0,0,,,,2,2
django__django-12148,django/django,0,0,0,,,,2,2
django__django-12153,django/django,0,0,0,,,,2,1
django__django-12155,django/django,0,0,0,,,,4,3
django__django-12161,django/django,0,0,0,,,,6,3
django__django-12172,django/django,0,0,0,,,,2,2
django__django-12184,django/django,0,0,0,,,,1,1
django__django-12185,django/django,0,0,0,,,,8,4
django__django-12187,django/django,0,0,0,,,,2,2
django__django-12198,django/django,1,0,0,reduced_dependency_references|reduced_imported_modules,,,5,4
django__django-12225,django/django,0,0,0,,,,1,1
django__django-12231,django/django,0,0,0,,,,1,1
django__django-12237,django/django,1,0,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,,,1,1
django__django-12273,django/django,0,0,0,,,,1,1
django__django-12276,django/django,0,0,0,,,,2,1
django__django-12281,django/django,0,0,0,,,,2,1
django__django-12284,django/django,0,0,0,,,,1,1
django__django-12286,django/django,0,1,0,,reduced_conditional_branches|reduced_cyclomatic_complexity,,2,2
django__django-12299,django/django,0,0,0,,,,2,2
django__django-12306,django/django,0,0,0,,,,1,1
django__django-12308,django/django,0,0,0,,,,1,1
django__django-12313,django/django,0,0,0,,,,2,2
django__django-12325,django/django,1,1,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out|reduced_imported_modules,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,,3,3
django__django-12343,django/django,0,0,1,,,increased_function_decomposition,3,3
django__django-12364,django/django,0,1,1,,reduced_cyclomatic_complexity,increased_function_decomposition,6,5
django__django-12396,django/django,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out|reduced_imported_modules,reduced_conditional_branches|reduced_cyclomatic_complexity,moved_logic_behind_function_boundary,13,12
django__django-12406,django/django,0,0,0,,,,3,2
django__django-12419,django/django,0,0,0,,,,1,1
django__django-12430,django/django,0,0,0,,,,2,1
django__django-12431,django/django,0,1,0,,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,,6,6
django__django-12453,django/django,0,0,0,,,,2,2
django__django-12458,django/django,0,0,0,,,,3,3
django__django-12464,django/django,0,0,0,,,,1,1
django__django-12469,django/django,0,0,0,,,,7,4
django__django-12470,django/django,0,0,0,,,,1,1
django__django-12477,django/django,0,0,0,,,,3,3
django__django-12484,django/django,0,0,0,,,,1,1
django__django-12485,django/django,0,0,0,,,,1,1
django__django-12496,django/django,0,0,0,,,,1,1
django__django-12497,django/django,0,0,0,,,,2,2
django__django-12504,django/django,0,0,0,,,,3,2
django__django-12508,django/django,1,1,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_cyclomatic_complexity,,14,12
django__django-12513,django/django,0,0,0,,,,9,7
django__django-12517,django/django,0,0,0,,,,1,1
django__django-12518,django/django,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,increased_function_decomposition|reduced_apparent_responsibilities,8,6
django__django-12519,django/django,0,0,1,,,increased_function_decomposition,6,4
django__django-12532,django/django,0,0,0,,,,6,2
django__django-12553,django/django,0,0,1,,,increased_function_decomposition,8,6
django__django-12556,django/django,0,0,0,,,,4,3
django__django-12568,django/django,0,0,0,,,,2,1
django__django-12589,django/django,0,0,0,,,,2,1
django__django-12591,django/django,0,0,0,,,,1,1
django__django-12613,django/django,0,0,0,,,,3,3
django__django-12627,django/django,0,0,0,,,,1,1
django__django-12630,django/django,0,0,0,,,,4,3
django__django-12663,django/django,0,0,0,,,,1,1
django__django-12669,django/django,1,0,1,reduced_dependency_references|reduced_fan_out|reduced_imported_modules,,moved_logic_behind_function_boundary,4,2
django__django-12671,django/django,0,0,0,,,,3,1
django__django-12708,django/django,0,0,0,,,,1,1
django__django-12733,django/django,0,1,0,,reduced_nesting_depth,,6,3
django__django-12734,django/django,0,0,0,,,,1,1
django__django-12741,django/django,0,0,0,,,,2,2
django__django-12748,django/django,0,0,1,,,moved_logic_behind_function_boundary,2,1
django__django-12771,django/django,1,1,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,,19,12
django__django-12796,django/django,0,0,1,,,reduced_apparent_responsibilities,3,3
django__django-12803,django/django,0,1,0,,reduced_control_flow_constructs|reduced_nesting_depth,,1,1
django__django-12821,django/django,0,0,0,,,,4,2
django__django-12830,django/django,0,0,0,,,,5,2
django__django-12851,django/django,0,0,0,,,,5,4
django__django-12855,django/django,0,0,0,,,,3,2
django__django-12856,django/django,0,0,0,,,,1,1
django__django-12858,django/django,0,0,0,,,,1,1
django__django-12869,django/django,0,0,0,,,,5,4
django__django-12906,django/django,0,0,0,,,,2,1
django__django-12908,django/django,0,0,0,,,,1,1
django__django-12910,django/django,0,0,0,,,,23,13
django__django-12915,django/django,0,0,0,,,,2,1
django__django-12928,django/django,0,0,1,,,increased_function_decomposition,8,4
django__django-12933,django/django,1,0,1,reduced_fan_out,,reduced_apparent_responsibilities,2,1
django__django-12951,django/django,0,0,0,,,,1,1
django__django-12953,django/django,0,0,1,,,increased_function_decomposition|introduced_helper_function,3,2
django__django-12957,django/django,0,0,0,,,,1,1
django__django-12961,django/django,0,0,0,,,,2,1
django__django-12973,django/django,0,0,0,,,,1,1
django__django-13012,django/django,0,0,1,,,increased_function_decomposition,1,1
django__django-13022,django/django,0,0,0,,,,1,1
django__django-13023,django/django,0,0,0,,,,1,1
django__django-13028,django/django,0,0,0,,,,1,1
django__django-13030,django/django,0,0,0,,,,1,1
django__django-13032,django/django,0,0,0,,,,1,1
django__django-13033,django/django,0,0,0,,,,1,1
django__django-13066,django/django,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,moved_logic_behind_function_boundary,4,3
django__django-13077,django/django,0,0,0,,,,1,1
django__django-13085,django/django,0,0,0,,,,5,2
django__django-13089,django/django,1,0,1,reduced_external_calls|reduced_fan_out,,reduced_apparent_responsibilities,1,1
django__django-13097,django/django,0,0,0,,,,8,4
django__django-13109,django/django,0,0,0,,,,1,1
django__django-13111,django/django,0,0,0,,,,3,1
django__django-13112,django/django,0,0,0,,,,1,1
django__django-13115,django/django,0,0,0,,,,1,1
django__django-13118,django/django,0,0,0,,,,2,1
django__django-13121,django/django,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out|reduced_imported_modules,reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,moved_logic_behind_function_boundary,9,5
django__django-13128,django/django,1,1,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,,3,3
django__django-13145,django/django,0,0,0,,,,2,2
django__django-13158,django/django,0,0,0,,,,2,2
django__django-13162,django/django,0,0,0,,,,1,1
django__django-13165,django/django,0,0,0,,,,2,1
django__django-13170,django/django,0,0,0,,,,2,1
django__django-13192,django/django,0,0,0,,,,2,1
django__django-13195,django/django,0,0,0,,,,3,1
django__django-13199,django/django,0,0,0,,,,3,1
django__django-13207,django/django,1,0,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,,helper_extraction_with_nonincreasing_complexity|increased_function_decomposition|introduced_helper_function,35,25
django__django-13212,django/django,0,0,0,,,,13,1
django__django-13218,django/django,1,1,0,reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity,,2,2
django__django-13220,django/django,0,0,0,,,,2,1
django__django-13236,django/django,0,0,1,,,increased_function_decomposition|introduced_helper_function,3,3
django__django-13240,django/django,0,0,0,,,,5,4
django__django-13250,django/django,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out|reduced_imported_modules,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,moved_logic_behind_function_boundary|reduced_apparent_responsibilities,7,5
django__django-13251,django/django,0,0,0,,,,5,4
django__django-13265,django/django,0,0,0,,,,3,1
django__django-13267,django/django,0,0,0,,,,1,1
django__django-13279,django/django,0,0,1,,,helper_extraction_with_nonincreasing_complexity|increased_function_decomposition|introduced_helper_function,2,2
django__django-13281,django/django,0,0,0,,,,1,1
django__django-13287,django/django,0,0,0,,,,2,2
django__django-13295,django/django,0,0,0,,,,2,2
django__django-13297,django/django,0,0,0,,,,3,3
django__django-13300,django/django,1,0,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out,,increased_function_decomposition|moved_logic_behind_function_boundary,4,2
django__django-13301,django/django,0,0,0,,,,3,1
django__django-13321,django/django,0,0,0,,,,1,1
django__django-13325,django/django,0,0,0,,,,6,5
django__django-13341,django/django,1,1,1,reduced_dependency_references|reduced_external_calls|reduced_fan_out|reduced_imported_modules,reduced_conditional_branches|reduced_control_flow_constructs|reduced_cyclomatic_complexity|reduced_nesting_depth,moved_logic_behind_function_boundary,3,3
django__django-13344,django/django,0,0,1,,,moved_logic_behind_function_boundary|reduced_apparent_responsibilities,7,6
django__django-13346,django/django,0,0,1,,,increased_function_decomposition,2,2
django__django-13350,django/django,0,0,0,,,,7,4
django__django-13354,django/django,0,0,0,,,,1,1
django__django-13355,django/django,0,0,0,,,,1,1
django__django-13363,django/django,1,1,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,reduced_conditional_branches|reduced_cyclomatic_complexity,,2,2
django__django-13369,django/django,0,0,0,,,,1,1
django__django-13371,django/django,1,0,1,reduced_dependency_references|reduced_fan_out|reduced_imported_modules,,helper_extraction_with_nonincreasing_complexity|increased_function_decomposition|introduced_helper_function|moved_logic_behind_function_boundary,6,4
django__django-13386,django/django,0,0,0,,,,1,1
django__django-13410,django/django,0,0,0,,,,1,1
django__django-13413,django/django,0,0,0,,,,2,1
django__django-13417,django/django,0,0,0,,,,1,1
django__django-13426,django/django,0,0,0,,,,1,1
django__django-13431,django/django,0,0,0,,,,2,1
django__django-13448,django/django,0,0,0,,,,2,2
django__django-13449,django/django,0,0,0,,,,2,2
django__django-13454,django/django,0,0,0,,,,2,2
django__django-13458,django/django,0,0,0,,,,1,1
django__django-13460,django/django,0,0,0,,,,2,1
django__django-13466,django/django,0,0,0,,,,2,2
django__django-13484,django/django,0,0,0,,,,4,1
django__django-13490,django/django,0,0,0,,,,1,1
django__django-13495,django/django,0,0,0,,,,17,10
django__django-13512,django/django,0,0,0,,,,3,1
django__django-13513,django/django,0,0,0,,,,4,2
django__django-13516,django/django,0,0,1,,,increased_function_decomposition,1,1
django__django-13528,django/django,0,0,0,,,,3,2
django__django-13530,django/django,0,0,0,,,,5,1
django__django-13537,django/django,0,0,0,,,,2,1
django__django-13551,django/django,0,0,0,,,,2,1
django__django-13556,django/django,0,0,0,,,,1,1
django__django-13560,django/django,0,0,0,,,,2,1
django__django-13569,django/django,1,0,0,reduced_dependency_references|reduced_external_calls|reduced_fan_out,,,1,1
django__django-13585,django/django,0,0,0,,,,3,3
django__django-13592,django/django,0,1,1,,reduced_nesting_depth,increased_function_decomposition,5,2
